The main character can be briefly characterized as an elderly curmudgeonly man. | G³ównego bohatera mo¿na krótko scharakteryzowaæ jako starszego zrzêdliwego pana.
I'm not relly keen on such thumb-candies. | Niezbyt lubiê takie gry zrêczno¶ciowe.

I don't think spinach cinema is worth a fig. | Nie s±dzê, ¿eby nudne filmy o warto¶ci edukacyjnej by³y cokolwiek warte.

She's really exhausted. She's got too much off-the-clock work. | Ona jest naprawdê wycieñczona. Ma za du¿o pracy po godzinach.

I was really fed up with his meanderings. | Mia³em naprawdê dosyæ jego glêdzenia.

He fragged all the enemies and won. | Zabi³ wszystkich komputerowych przeciwników i wygra³. 

You are sure to receive lots of directronic ads if you fill in that questionnaire. | Na pewno bêdziesz otrzymywa³ poczt± elektroniczn± mnóstwo reklam kierowanych do danej grupy konsumenckiej, je¶li wype³nisz ten kwestionariusz.

This message is poorly edited and will be flitered- it's just ham. | Ta wiadomo¶æ jest ¼le zredagowana i bêdzie filtrowana- to mail, który zawiera s³owa typowe dla niechcianych wiadomo¶ci.

Before I read my mail, I have to cope with all that spam and barfmails.  | Zanim przeczytam swoj± pocztê, muszê uporaæ siê z tymi wszystkimi niechcianymi mailami i wiadomo¶ciami wysy³anymi do wielu internautów.

I left when they started a fierce argument concerning the sanative power of gemstones . | Wyszed³em kiedy zaczêli gor±cy spór dotycz±cy leczniczych w³a¶ciwo¶ci kamieni szlachetnych.

I'm not gonna have anything from that chippy any more.Avoiding chippy questions is not the best way to solve problems. | Wiêcej nie bêdê jad³ nic z tego sklepu z ryb± i frytkami.Unikanie dra¿liwych pytañ nie jest najlepszym sposobem na rozwi±zywanie problemów.

And finally, when everything's lost, he commits a copicide. | Na koñcu, kiedy wszystko jest stracone, pope³nia sambójstwo prowokuj±c policjê, ¿eby go zastrzelili.

He is extremely self-confident when it comes to school achievements. However, he can't cope with his mates who would eagerly bully him or mock at him. Actually, it's his helicopter mother who makes the situation worse and worse. | Jest nies³ychanie pewny siebie, je¶li chodzi o osi±gniêcia szkolne. Jednak nie mo¿e sobie daæ rady ze swoimi kolegami, którzy najchêtniej znêcaliby siê nad nim albo szydzili z niego. Tak naprawdê to jego nadopiekuñcza matka pogarsza tê sytuacjê.

She watches cutesy soaps on TV. | Ona ogl±da cukierkowate opery mydlane w TV.

She's addicted to spaving and you'll not talk her into buying the furniture she really likes. She's gonna choose the cheapest items. | Ona jest uzale¿niona od kupowania na propmocjach i wyprzeda¿ach i nie namówisz jej na zakup tych mebli, które siê jej podobaj±. Wybierze te najtañsze.

The company will upstaff by several junior executives. | Firma zwiêkszy zatrudnienie o kilku kierowników ni¿szego szczebla.

A yeardisc like this may be an attractive souvenir for the graduates. | Ksiêga szkolna na CD-ROMie mo¿e byæ atrakcyjnym upominkiem dla absolwentów.

Her memoirs are a typical hiss and tell story. | Jej pamiêtniki to typowa historia oe³na pogardy dla jej by³ych partnerów.

She started going out with that nerdish boy. | zaczê³a siê spotykaæ z tym kujonowatym ch³opcem.

My professor is a real leadite and I think it's unfair that she has her students type her articles. | Mój profesor to przeciwnik nowych technologii - i my¶lê, ¿e to nie w porz±dku, ¿e karze swoim studentom przepisywac na komputerze swoje artyku³y.

Sunlighting seemed the only way for him to earn enough. | Wykonywanie pracy zarobkowej podczas zwolnienia wydawa³o mu siê jedynym sposobem na to, ¿eby zarobic wystarczaj±co du¿o.

She decided to leave the city behind and to take part in a mouse race rather than rat race. | Postanowi³a zostawiæ miasto i wzi±æ udzia³ w wy¶cigu myszy a nie szczurów.

He's said to have spent five years in an ashram. | Mówi siê o nim, ¿e spêdzi³ piêæ lat w pustelni.

The professor is not a naive dilettante, so you won't fool him with your pathetic bardolatry. | Profesor nie jest naiwnym dyletantem, nie nabierzesz go wiêc na swój ¿a³osny, nabo¿ny stosunek do Szekspira.

She's so funny in those glitzy clothes! | Ona jest taka zabawna w tych ubraniach na pokaz!

The way she acts is just miserable spoofery. | Sposób, w jaki ona siê zachowuje to tylko ¿a³osne na¶ladownictwo.

I'm not going to ask her for anything any more! You know, I call this kind of attitude small-mindedness. | Nigdy wiêcej o nic jej nie poproszê. Takie nastawienie nazywam ma³ostkowo¶ci±.

If I were you I wouldn't try to save up disregardning shoddiness of these clothes.  | Na twoim miejscu nie próbowa³bym przyoszczêdziæ ignoruj±c bylejako¶æ tych ubrañ.

Take your gubbins and off you go! | Zabieraj swoje klamoty i id¼ st±d!

The guy would be quite handsome if his style weren't so frumpish. | Ten facet by³by ca³kiem przystojny, gdyby nie jego niemodny styl.

Agata's not a perfectly flawless person, but you've got to admit she always proves fair-minded. | Agata nie jest osob± bez wad, ale musisz przyznaæ, ¿e zawsze okazuje siê sprawiedliwa w swych s±dach.

It's just a crapshoot- he may react in any and every way you can think of. | To nieprzewidywalna sytuacja- on mo¿e zareagowac na wiele ró¿nych sposobów.

The The way Tony was trying to recommend that new eatery was not convincing. | Sposób, w jaki Tony stara³ siê poleciæ tê now± restauracjê nie by³ przekonywaj±cy.

Sarah foud rawism a very attractive diet. She's always enthusiastic when it comes to healthy lifestyle, but I think this is an exaggeration. | Sarah uzna³a dietê polegaj±c± na jedzeniu g³ównie surowych owoców za bardzo atrakcyjn±. Ona zawsze entuzjastycznie traktuje zdrowy tryb ¼ycia, ale to chyba przesada.

First of all you should avoid dealing with such dittoheads. | Przede wszystkim powiniene¶ unikaæ kontaktów z osobami bezmy¶lnie zgadzaj±cymi siê ze wszystkim, co siê do nich mówi.

I can't understand thrill-seekers who climb such walls. | Nie rozumiem poszukiwaczy przygód, którzy wspinaj± siê na takie ¶ciany.

Our accountant says she's being threatened by downaging policies. | Nasza ksiêgowa mówi, ¿e zagra¿a jej polityka obni¿ania wieku pracowników.

Two clerks were having a snatchy chat, dealing with the customers at the same time. | Dwie urzêdniczki prowadzi³y przerywan± pogawêdkê, jednocze¶nie obs³uguj±c klientów.

She's been acting as if she wanted to become  a bimbo since she met that politician. | Zachowuje siê, jakby chcia³a staæ siê kobiet± utrzymywan± przez starszego od siebie mê¿czyznê od kiedy pozna³a tego polityka.

He's said to have been a toyboy but I can't believe it. | Mówi±, ¿e on by³ kiedy¶ utzrymankiem, ale nie mogê w to uwierzyæ.

I'm not going to spend my time with those pissheads. I'm going home. | Nie mam zamiaru spêdzaæ czasu z tymi pijakami. Idê do domu.

It was rather romantic and naive to think of 2K1 as a breakthrough. | Romantycznie i naiwnie by³o my¶leæ o roku 2001 jako o prze³omie.

Advertecture is not what impresses me- those pictures are usually both huge and ugly. | Reklamy malowane na ¶cianach nie robi± na mnie wra¿enia- s± zazwyczaj zarówno wielkie, jak i brzydkie.

I've really got enough. Going to ground  is a gross-out and I'm not going to live like that any longer. | Mam naprawdê dosyæ. Ci±g³e ukrywanie siê to obrzydliwo¶æ i nie chcê d³u¿ej ¿yæ w ten sposób.

At first I was afraid I wouldn't get used to hot desking. | Z pocz±tku ba³em siê, ¿e nie przyzyczajê siê do braku sta³ego stanowiska pracy.

How can you stand such a hotchpotch around you? | Jak mo¿esz znosiæ taki ba³agan wokó³?

The  overarching issue was the new security policy. | Najistotniejszym problemem by³y nowe wytyczne dotycz±ce bezpieczeñstwa.

The mourners gathered at his obsequies. | ¯a³obnicy zebrali siê na jego pogrzebie.

My aunt would never wear off-the-peg clothes. | Moja ciotka nigdy nie nosi³aby ubrañ nie szytych na miarê.

He confessed he wasn't familiar with her oeuvre. | Przyzna³ siê, ¿e nie zna³ jej dorobku.

This book is full of off-the-wall humour- you're going to like it. | Ta ksi±¿ka jest pe³na dziwacznego humoru- spodoba ci siê. 

Visitability is what we have to take into consideration when choosing a cinema. | Kiedy wybieramy kino, musimy wzi±æ pod uwagê dostêpno¶æ dla niepe³nosprawnych.

He was described as a poltroon. | Zosta³ opisany jako tchórz.

Why is she going out with that plonker? | Dlaczego ona spotyka siê z tym g³upkiem?

The orotund speech Martin delivered impressed the professor. | Bogata I skomplikowana mowa, któr± wyg³osi³ Martin, zrobi³a wra¿enie na profesorze.

This debate was an infamous example of political mudslinging. | Ta debata by³a nies³awnym przyk³adem politycznego mieszania z b³otem.

She was taken to hospital after the prang. | Po wypadku wziêli j± do szpitala.

I'm definitely not going to wade through this screed.  | Zdecydowanie nie mam zamiaru brn±æ przez ten nudny tekst.

We've had a slap-up lunch on the way - we're not hungry. | Po drodze zjedli¶my dobry, obfity lunch - nie jeste¶my g³odni.

I'd rather not participate in such meetings- all prim and proper, full of gravitas and extremely boring. | Wola³bym nie braæ udzia³u w takich spotkaniach- wszyscy sztywni, formalni i strasznie nudni.

Sally's well known for being jealous- backstabbing is what she's really good at. | Sally jest dobrze znana ze swojej zawi¶ci- naprawdê dobrze jej idzie kopanie do³ków pod innymi.

I hate when she acts like a back seat driver, telling me what to do on the road. | Nie znoszê, kiedy ona zachowuje siê jak osoba kieruj±ca z tylnego siedzenia, która mówi mi, co mam robiæ na drodze. 

The company set a stratospheric standard, which their competitors find difficult to meet.  | Ta firma ustanowi³a bardzo wysoki poziom, który wydaje siê trudny do osi±gniêcia przez konkurencjê.

You can meet a lot of cineastes at the festival. | Na festiwalu mo¿na spotkaæ wielu kinomanów.

Her sons are such sweet munchkins! | Jej synowie to takie kochane dzieciaki!

I met that moo yesterday- she was gossiping again! | Spotka³em wczoraj tê g³upi± krowê- znowu plotkowa³a!

What I found really amusing as far as this script is concerned, were pacy dialogues. | To, co podoba³o mi siê w tym scenariuszu, to ¿ywe dialogi.

I will argue that she's a really brilliant girl, not a simple twinkie. | Upieram siê, ¿e to naprawdê inteligentna dziewczyna, nie zwyk³a gwiazdeczka.

They were slack-jawed, completely confused and unable to  take in the news. | Byli zupe³nie zszokowani, zak³opotani I nie mogli poj±æ tej wiadomo¶ci.

My parents are just lusers when it comes to the Internet. | Moi rodzice to nieudolni u¿ytkownicy Internetu.

I will argue that she's a really brilliant girl, not a simple twinkie. | Upieram siê, ¿e to naprawdê inteligentna dziewczyna, nie zwyk³a gwiazdeczka.

They were slack-jawed, completely confused and unable to  take in the news. | Byli zupe³nie zszokowani, zak³opotani I nie mogli poj±æ tej wiadomo¶ci.

The boys high-fived each other. | Ch³opcy przybili sobie pi±tki.

He's a real sourpuss, his grumbling and moaning is what I can't stand. | On jest strasznym zrzêd±, nie mogê znie¶æ jak gdera i jêczy.

The concert was simply fantafabulous- you should have been there! | Koncert by³ po prostu znakomity- powiniene¶ tam byæ!

You're not going to win with a perspn who is as single-minded as Christine. | Nie wygrasz z osob± tak zdeterminowan± jak Christine.

Peter and his mates were famous for the  rip-roaring parties they used to make. | Peter I jego koledzy byli znani z szalonych imprez, które organizowali.

My aunt was an incredibly elegant lady. She always wore custom-made clothes and the most fashionable shoes.  | Moja ciotka by³a niezwykle eleganck± dam±. Zawsze nosi³a ubrania szyte na miarê i najmodniejsze buty.

The court definitely consisted of flunkies. | Dwór niew±tpliwie sk³ada³ siê z lizusów.

Portafuels of any kind annoy my grandfather. He states people are becomin more and more self-indulgent. | Posi³ki noszone ze sob± denerwuj± mojego dziadka. Twierdzi on, ¿e ludzie coraz bardziej sobie folguj±.

Those young boys don't bother much about the meatspace- they just play computer games and do nothing else. | Ci m³odzi ch³opcy nie przejmuj± siê zbytnio realnym ¶wiatem- oni po prostu graj± w gry komputerowe i  nie robi± nic wiêcej.

Sophie seems an Internot at first, but she does surf the Net when she really needs to. | Sophie sprawia wra¿enie przeciwniczki Internetu, ale serfuje po nim, kiedy tego naprawdê potrzebuje.

She said all those knowbies droning on about the Netiquette were pretty annoying. | Ona powiedzia³a, ¿e ci znawcy Internetu przynudzaj±cy na temat Netykiety s± naprawdê irytuj±cy.

Being a typical egosurfer, Chris would spend hours staring at the screen. | Jako typowa osoba poszukuj±ca wzmianki o sobie w sieci, Chris godzinami wpatruje siê w ekran.

The police arrested the infamous fraudster only yesterday. | Policja zaaresztowa³a tego nies³awnego oszusta dopiero wczoraj.

When I first visited Great Britain, it was really surprising to be suddenly unable to use a mixer tap I was used to. | Kiedy po raz pierwszy pojecha³em do Wielkiej Brytanii, by³em naprawdê zdziwiony nie mog±c u¿ywaæ kranów mieszanych, do których by³em przyzwyczajony.

They'll mike you before you enter the studio. | Przed wej¶ciem do studia przyczepi± ci mikrofon.

You've got to take your chance. You can't be that lily-livered all your life! | Musisz spróbowaæ. Nie mo¿esz byæ taki strachliwy przez ca³e ¿ycie!

I don't think you can trust those chuggers.  | My¶lê, ¿e nie mo¿na ufaæ tym ludziom zbieraj±cym pieni±dze na cele charytatywne na  ulicy.

The disco is usually full of kidults. | Ta dyskoteka jest zazwyczaj pe³na m³odzie¿owców.

Well, I never have time to celebrate meals. I start the day with a nice deskfast reading e-mails and thinking about my work. | Có¿, nie mam czasu na celebrowanie posi³ków. Dzieñ zaczynam od ¶niadania przy biurku, czytaj±c e-maile i my¶l±c o pracy.

She met her wasband at the pary. | Ona spotka³a swojego by³ego mê¿a na przyjêciu.

My parents treat their dog as a furkid. | Moi rodzice traktuj± swojego psa jak dziecko.

She comes from a moneyed family. | Ona pochodzi z zamo¿nej rodziny.

Whenever I enter that school, I come to the conclusion that hearing loss may be an occupational hazard for teachers.  | Ilekroæ wchodzê do tej szko³y, dochodzê do wniosku, ¿e utrata s³uchu mo¿e byæ ryzykiem zawodowym dla nauczycieli.

Henry proved a silver-tongued speaker during the conference. | Podczas konferencji Henry okaza³ siê przekonuj±cym mówc±.

The leader of this party has lots of sheeple to instruct. They do follow him voluntarily. | Lider tej partii ma wielu bezmy¶lnych zwolenników. Oni chêtnie robi± to, co im mówi.

We ought to depart post-haste since the others are waiting. | Powinni¶my wyjechaæ z najwiêkszym po¶piechem, poniewa¿ pozostali czekaj±.

My grandma was a real role model to me.  | Moja babcia by³a dla mnie prawdziwym wzorem do na¶ladowania. 

I was planning to redecorate the living room, but I decided to punt. | Planowa³em odnowiæ pokój, ale postanowi³em z tego zrezygnowaæ

He never finishes anything before the deadline. The problem is he's an arachnerd.  | On nigdy nie koñczy ¿adnego zadania przed ostatecznym terminem. Problem w tym, ¿e za du¿o czasu spêdza serfuj±c po internecie.

Headhunters and career coaches are becoming more and more popular.  | £owcy g³ów i doradcy zawodowi staj± siê coraz bardziej popularni.

She likes travelling with a bookling in her pocket so that she can always have a nice reading. | Ona lubi podró¿owaæ z ma³± ksi±¿eczk± w kieszeni, ¿eby zawsze móc poczytaæ.

Should you have any problems concerning your PC, our concierge will provide help. | Je¶li bêdzie pan mia³ jakiekolwiek problemy zwi±zane z komputerem, nasz pracownik  zajmuj±cy siê tymi kwestiami pomo¿e panu.

They'll all working undertime, sipping coffee and puffing cigarettes. | Oni wszyscy spêdzaj± czas pracy na innych czynno¶ciach, popijaj±c kawê i pal±c papierosy.

Peter hated the job as a journalist- he was expected to mass produce coffee-spitters. | Peter nie znosi³ pracy dziennikarza- oczekiwano od niego masowej produkcji szokuj±cych materia³ów.

They considered TV a real timesuck so they decided to get rid of the box. | Uwa¿ali telewizjê za po¿eracza czasu, wiêc postanowili pozbyæ siê telewizora.

Ula's a leapling, so her birthday is hard to forget about. | Ula urodzi³a siê 29 lutego , wiêc trudno zapomnieæ o jej urodzinach.

What Ewa would be really pleased with is a cutensil of any kind. Once I gave her a crocodile-shaped spaghetti spoon and she was delighted. | Ewa na pewno by³aby zadowolona z jakiego¶ przyrz±du kuchennego o zabawnym wygl±dzie. Raz da³am jej ³y¿kê do spaghetti w kszta³cie krokodyla i by³a zachwycona.

The company decided to put advergames on their site. | Firma postanowi³a umie¶ciæ gry zawieraj±ce reklamy na swojej stronie.

I consider the plan they put forward a half-baked project. | Zaproponowany przez nich plan uwa¿am za niedopracowany.

You have to remember your mom's always half-crazed when you come late at night. | Musisz pamiêtaæ, ¿e twoja mama jest zawsze nieprzytomna ze strachu, kiedy wracasz pó¼no w nocy.

He seemed half-cut when I met him yesterday. | Wydawa³ siê wstawiony, kiedy go wczoraj spotka³am.

I'd rather not stay here- this restaurant is really scuzzy. | Wola³bym st±d wyj¶æ- ta restauracja jest naprawdê obskurna.

The sexy blonde sashayed through the hall. | Seksowna blondynka przesz³a przez korytarz poruszaj±c biodrami.

He's always looking for his eyewear. | On wiecznie szuka swoich okularów.

I can't miss today's episode of my favourite docusoap. | Nie mogê przegapiæ dzisiejszego odcinka mojej ulubionej telenoweli dokumentalnej.

A friend of mine, who is a doc, has been rather tired of hypochondriacs and gorks. | Mój przyjaciel, który jest lekarzem, jest zmêczony hipochondrykami i osobami, których dolegliwo¶ci trudno zdiagnozowaæ.

This tune is like a broken record. I've been humming this earworm for three days though I hate it. | Ta melodia jest jak zaciêta p³yta. Nucê tê piosenkê od trzech dni, chocia¿ jej nie znoszê.

Her unusual behaviour and offbeat ideas astound me. | Jej niezwyk³e zachowanie i dziwaczne pomys³y zdumiewaj± mnie.

Ann's been really nasty. She's been acting as a typical alpha girl. | Ann jest naprawdê wstrêtna. Zachowuje siê jak despotka.

I think what you've written sounds rather off-beam. | Wed³ug mnie to, co napisa³e¶ jest trochê niepoprawne.

Julka's been keen on skiing from the very beginning. She would spend all day on the nursery slope.  | Julka od samego pocz±tku bardzo polubi³a jazdê na nartach. Ca³e dnie spêdza³a na o¶lej ³±czce.

She's been spending her time on navel-gazing and trying to involve everybody else in her problems. | Ona zachowuje siê jak pêpek ¶wiata I próbuje zaanga¿owaæ wszystkich wokó³ w swoje problemy.

Anne is  a natural-born manager and she will cope with this mess easily. | Anne jest urodzonym kierownikiem I z ³atwo¶ci± poradzi sobie z tym ba³aganem.

As an upshifter, she's  going to suffer from a real shock. | Poniewa¿ zmieni³a pracê na bardziej stresuj±c±, prze¿yje wstrz±s.

As long as original records are expensive, bitlegging will be inevitable. | Dopóki oryginalne p³yty bêd± drogie, kopiowanie muzyki z internetu bêdzie nieuniknione.

Kippers are one of social phenomena typical of this decade. | Doros³e dzieci pozostaj±ce w domu rodzinnym stanowi± jedno ze zjawisk spo³ecznych typowych dla tej dekady.

I'm going to dejunk my room, which means removing all the white elephants I've gathered so far. | Mam zamiar uporz±dkowaæ swój pokój, czyli pozbyæ siê wszystkich niepotrzebnych rzeczy, które dot±d uzbiera³em.

Metrosexuals spend a lot of time and money on their appearance.  | Metroseksualni wydaj± mnóstwo pieniêdzy i po¶wiêcaj± du¿o czasu na swój wygl±d.

It is extremely difficult to teach kids that are cudgelled into attending a language course. | Niezwykle trudno jest uczyæ dzieci  zmuszane do uczestnictwa w kursie jêzykowym.

The clothes she wears are pretty phat! | Ubrania, które ona nosi, s± naprawdê modne!

This mobile is a hand-me-up from my son. He thought it was old-fashioned. | Ten telefon komórkowy zosta³ mi oddany przez syna. Uwa¿a³, ¿e jest ju¿ niemodny.

This mobile is a hand-me-up from my son. He thought it was old-fashioned. | Ten telefon komórkowy zosta³ mi oddany przez syna. Uwa¿a³, ¿e jest ju¿ niemodny.

I wonder how those elderweds get on with each other. | Zastanawiam siê, jak uk³ada siê tej starszej parze.

Paul is a perfect manny. | Paul to doskona³a niania.

The parents from the school I visited made a bad impression on me. They just kept on bragging about their trophy kids.  | Rodzice ze szko³y, któr± odwiedzi³am, zrobili na mnie z³e wra¿enie. Po prostu przechwalali siê swoimi dzieæmi.

The candidates for the post are required to have hands-on computing experience. | Od kandydatów na to stanowisko oczekuje siê praktycznego do¶wiadczenia w pracy z komputerem.

The minds-on laboratory classes she conducts are extremely popular with students. | Intelektualnie absorbuj±ce zajêcia w laboratorium, które ona prowadzi, ciesz± siê wielk± popularno¶ci± u studentów.

Most Internet users admit experiencing Web rage. | Wiêkszo¶æ osób korzystaj±cych z internetu przyznaje, ¿e do¶wiadcza zwi±zanej z tym frustracji.

I try to avoid his company. He's a tiresome witling. | Staram siê unikaæ jego towarzystwa. Jest mêcz±cy i wydaje mu siê, ¿e jest dowcipny.

His latest film was labelled as an unoriginal, predictable warmedy.   | Jego ostatni film zosta³ zaklasyfikowany jako pozbawiona oryginalno¶ci, przewidywalna komedia familijna

She was the producer of  this zitcom.  | Ona by³a producentem tego m³odzie¿owego sitcomu.

Being a perfect antirube, he was really envious whenever any of his colleagues achieved better results in computing. | Jako zwolennik najnowszych technologii komputerowych, zazdro¶ci³ swoim kolegom, ilekroæ osi±gali lepsze wyniki w pracy z komputerem.

She's going out with that himbo again. I wonder what she sees in him. | Ona znowu chodzi z tym atrakcyjnym g³upkiem. Ciekawe, co ona w nim widzi.

New lifestyle magazines aim at screenagers, being a potentially attractive target group.  | Nowe magazyny po¶wiêcone stylowi ¿ycia s± skierowane do pokolenia ekranu, stanowi±cego potencjalnie atrakcyjn± grupê docelow±.

Advertising campaigns are to blame for nico-teen addicts.  | Kampanie reklamowe ponosz± winê za nastolatków uzale¿nionych od nikotyny.

The term 'trolleyology' was coined by American anthropologists. | Wyra¿enie 'wózkologia' zosta³o ukute przez amerykañskich antropologów.

The guys started to kick him and one of them headbutted him hard. | Ci ludzie zaczêli go kopaæ, a jeden z nich uderzy³ go mocno g³ow±.

The whole play turned out hopeless. The plot was simplistic, to say nothing of the luvvy playing the title role. | Ca³a sztuka okaza³a siê beznadziejna. Fabu³a by³a prostacka, nie mówi±c o tym sztucznie graj±cym aktorze w tytu³owej roli.

She wished to consider only the top-of-the-range models. | Chcia³a braæ pod uwagê jedynie najdro¿sze modele.

His non-appearance at work could only mean dismissal.  | Jego niestawienie siê w pracy mog³o oznaczaæ tylko zwolnienie.

Nowadays, octogenarians can lead an interesting life provided they have enough money. | Dzisiaj osiemdziesiêciolatkowie mog± prowadziæ interesuj±ce ¿ycie, pod warunkiem, ¿e maj± dostatecznie du¿o pieniêdzy.

I've been worrying about Peter. He seems raddled and is working too much. | Martwiê siê o Piotra. Wygl±da na bardzo zmêczonego i za du¿o pracuje.

He tends to steamroller his employees into doing things they don't approve of. As a boss, he's a typical steamroller. | On na ogó³  zmusza swoich pracowników do robienia rzeczy, których nie akceptuj±.

They are the vctims of a few dupers. | Oni s± ofiarami kilku oszustów.

This movie was sanitized, which, of course, made it lose its message. | Ten film zosta³ ocenzurowany, co oczywi¶cie sprawi³o, ¿e straci³ swój przekaz.

Most books by this author are harmful stuff - cacodoxy and lies. | Wiêkszo¶æ ksi±¿ek tego autora to szkodliwe rzeczy- herezje i k³amstwa.

Susan's experience and knowledge were appreciated and she  was asked to become an e-mentor. She's going to advise younger teachers. | Do¶wiadczenie i wiedza susan zosta³y docenione i poproszono j±, by zosta³a osob±, która doradza innym za po¶rednictwem internetu. Bêdzie udziela³a porad m³odszym nauczycielom.

To be honest, I call that whole 'research' banalysis. | Szczerze mówi±c nazywam to ca³e 'badanie' banaln± pseudo-analiz±.

The book has no real message- it's simply bathos. | Ta ksi±¿ka nie ma ¿adnego prawdziwego przes³ania- to po prostu sztuczny patos.

Journalists wondered whether the weird volume was a sort of modern grimoire. | Dzienikarze zastanawiali siê, czy ten dziwny tom to jaka¶ wspó³czesna ksiêga czarów.

The company hires many boomerangs who are laid off when not needed. | Firma zatrudnia wielu pracowników- bumerangi, którzy s± tymczasowo zwalniani, kiedy nie s± potrzebni.

The managers have decided to revector certain points in the business plan. | Kierownicy postanowili zmieniæ pewne punkty biznes planu.

Bartek was fond of the windable toy car. | Bartek by³ zadowolony z nakrêcanego samochodzika.

The mucus troopers who have been surveyed claim they didn't want to disappoint their employees. | Ankietowani pracownicy obecni w firmie mimo choroby twierdz±, ¿e nie chcieli zawie¶æ pracodawcy.

The president set off to start his fence-mending mission. | Prezydent wyruszy³ ze swoj± misj± poprawiaj±c± stosunki miêdzy zwa¶nionymi stronami.

