"support","poziom wsparcia","poziomu wsparcia","poziomowi wsparcia","poziom wsparcia","poziomem wsparcia","poziomie wsparcia","11"
"15min exponential moving averages","15-minutowa wyk³adnicze ¶rednie ruchome","15-minutowych wyk³adniczych ¶rednich ruchomych","15-minutowym wyk³adniczym ¶rednim ruchomym","15-minutowe wyk³adnicze ¶rednie ruchome","15-minutowymi wyk³adniczymi ¶rednimi ruchomymi","15-minutowych wyk³adniczych ¶rednich ruchomych","22"
"the volatility","zmienno¶æ","zmienno¶ci","zmienno¶ci","zmienno¶æ","zmienno¶ci±","zmienno¶ci","12"
"Bollinger bands","wstêga Bollingera","wstêgi Bollingera","wstêdze Bollingera","wstêgê Bollingera","wstêg± Bollingera","wstêdze Bollingera","12"
"the trend","trend","trendu","trendowi","trend","trendem","trendzie","11"
"(Modified Stochastic)","(zmodyfikowany oscylator stochastyczny)","(zmodyfikowanego oscylatora stochastycznego)","(zmodyfikowanemu oscylatorowi stochastycznemu)","(zmodyfikowany oscylator stochastyczny)","(zmodyfikowanym oscylatorem stochastycznym)","(zmodyfikowanym oscylatorze stochastycznym)","11"
"the price","cena","ceny","cenie","cenê","cen±","cenie","12"
"a position","pozycja","pozycji","pozycji","pozycjê","pozycj±","pozycji","12"
"the risk/reward ratio","stosunek zysku do ryzyka","stosunku zysku do ryzyka","stosunkowi zysku do ryzyka","stosunek zysku do ryzyka","stosunkiem zysku do ryzyka","stosunku zysku do ryzyka","11"
"a consolidation","konsolidacja","konsolidacji","konsolidacji","konsolidacjê","konsolidacj±","konsolidacji","12"
"the consolidation","konsolidacja","konsolidacji","konsolidacji","konsolidacjê","konsolidacj±","konsolidacji","12"
"the target","poziom docelowy","poziomu docelowego","poziomowi docelowemu","poziom docelowy","poziomem docelowym","poziomie docelowym","11"
"ForexTrend daily","dzienny wyznacznik trendu dla rynku forex","dziennego wyznacznika trendu dla rynku forex","dziennemu wyznacznikowi trendu dla rynku forex","dzienny wyznacznik trendu dla rynku forex","dziennym wyznacznikiem trendu dla rynku forex","dziennym wyznaczniku trendu dla rynku forex","11"
"(Mataf Trend Indicator)","(indykator trendu biura maklerskiego Mataf)","(indykatora trendu biura maklerskiego Mataf)","(indykatorowi trendu biura maklerskiego Mataf)","(indykator trendu biura maklerskiego Mataf)","(indykatorem trendu biura maklerskiego Mataf)","(indykatorze trendu biura maklerskiego Mataf)","11"
"range","przedzia³","przedzia³u","przedzia³owi","przedzia³","przedzia³em","przedziale","11"
"trend","trend","trendu","trendowi","trend","trendem","trendzie","11"
"exponential moving averages","wyk³adnicze ¶rednie krocz±ce","wyk³adniczych ¶rednich krocz±cych","wyk³adniczym ¶rednim krocz±cym","wyk³adnicze ¶rednie krocz±ce","wyk³adniczymi ¶rednimi krocz±cymi","wyk³adniczych ¶rednich krocz±cych","22"
"ForexTrend 1H","godzinny wyznacznik trendu dla rynku forex","godzinnego wyznacznika trendu dla rynku forex","godzinnemu wyznacznikowi trendu dla rynku forex","godzinny wyznacznik trendu dla rynku forex","godzinnym wyznacznikiem trendu dla rynku forex","godzinnym wyznaczniku trendu dla rynku forex","11"
"4H exponential moving averages","czterogodzinne wyk³adnicze ¶rednie krocz±ce","czterogodzinnych wyk³adniczych ¶rednich krocz±cych","czterogodzinnym wyk³adniczym ¶rednim krocz±cym","czterogodzinne wyk³adnicze ¶rednie krocz±ce","czterogodzinnymi wyk³adniczymi ¶rednimi krocz±cymi","czterogodzinnych wyk³adniczych ¶rednich krocz±cych","22"
"the uptrend","trend wzrostowy","trendu wzrostowego","trendowi wzrostowemu","trend wzrostowy","trendem wzrostowym","trendzie wzrostowym","11"
"a short position","pozycja krótka","pozycji krótkiej","pozycji krótkiej","pozycjê krótk±","pozycj± krótk±","pozycji krótkiej","12"
"the stop loss","zlecenie obronne","zlecenia obronnego","zleceniu obronnemu","zlecenie obronne","zleceniem obronnym","zleceniu obronnym","13"
"the targets","poziomy docelowe","poziomów docelowych","poziomom docelowym","poziomy docelowe","poziomami docelowymi","poziomach docelowych","23"
"each trade","zajmowanie jakiejkolwiek pozycji","zajmowania jakiejkolwiek pozycji","zajmowanium jakiejkolwiek pozycji","zajmowanie jakiejkolwiek pozycji","zajmowaniem jakiejkolwiek pozycji","zajmowaniu jakiejkolwiek pozycji","13"
"your stop loss","odpowiednie zlecenia obronne","odpowiednich zlecen obronnych","odpowiednim zleceniom obronnym","odpowiednie zlecenia obronne","odpowiednimi zleceniami obronnymi","odpowiednich zleceniach obronnnych","22"
"trade configuration","ocena ryzyka tranzakcji","oceny ryzyka tranzakcji","ocenie ryzyka tranzakcji","ocenê ryzyka tranzakcji","ocen± ryzyka tranzakcji","ocenie ryzyka tranzakcji","12"
"(1 Speculative -> 4 Trend following):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","(od spekulatywnej: 1 do pod±¿aj±cej z trendem: 4):","12"
"4H ForexSto","czterogodzinny oscylator ForexSto","czterogodzinnego oscylatora ForexSto","czterogodzinnemu oscylatorowi ForexSto","czterogodzinny oscylator ForexSto","czterogodzinnym oscylatorem ForexSto","czterogodzinnym oscylatorze ForexSto","11"
"1H ForexSto","jednogodzinny oscylator ForexSto","jednogodzinnego oscylatora ForexSto","jednogodzinnemu oscylatorowi ForexSto","jednogodzinny oscylator ForexSto","jednogodzinnym oscylatorem ForexSto","jednogodzinnym oscylatorze ForexSto","11"
"1H 4H ForexSto","jedno- i czterogodzinny oscylator ForexSto","jedno- i czterogodzinnego oscylatora ForexSto","jedno- i czterogodzinnemu oscylatorowi ForexSto","jedno- i czterogodzinny oscylator ForexSto","jedno- i czterogodzinnym oscylatorem ForexSto","jedno- i czterogodzinnym oscylatorze ForexSto","11"
"oscillators","oscylatory","oscylatorów","oscylatorom","oscylatory","oscylatorami","oscylatorach","23"
"a break of support","prze³amanie poziomu wsparcia","prze³amania poziomu wsparcia","prze³amaniu poziomu wsparcia","prze³amanie poziomu wsparcia","prze³amaniem poziomu wsparcia","prze³amaniu poziomu wsparcia","13"
"a break of resistance","prze³amanie poziomu oporu","prze³amania poziomu oporu","prze³amaniu poziomu oporu","prze³amanie poziomu oporu","prze³amaniem poziomu oporu","prze³amaniu poziomu oporu","13"
"a long position","pozycja d³uga","pozycji d³ugiej","pozycji d³ugiej","pozycjê d³ug±","pozycj± d³ug±","pozycji d³ugiej","12"
