arise	arose	arisen	powstawać, pojawiać się
throw	threw	thrown	rzucać
thrust	thrust	thrust	dźgać, wbić
tread	trod	trodden	deptać, stąpać
wake	woke	woken	budzić się
wear	wore	worn	nosić, mieć na sobie
weave	wove	woven	tkać, wplatać
wet	wet	wet	zwilżać
win	won	won	wygrać
wind	wound	wound	nawijać, obwijać, zwijać
wring	wrung	wrung	wykręcać, wyciskać
write	wrote	written	pisać
