regularne kontakty ze środowiskiem naukowym,regular contact with the scientific community
rok lub okres bazowy dla,base year or period for
rolnictwo ma również rolę do,agriculture also has a role to
rozporządzenia finansowego i na podstawie,financial regulation and on the basis
rozwiązanie i nowe ramy prawne,solution and a new legal framework
rozwinięte oraz każda inna strona,party and each other developed party
rozwoju w rio de janeiro,development in rio de janeiro
równość płci jest zasadniczym celem,gender equality is a fundamental objective
różnorodności oraz względnej i bezwzględnej,diversity and the relative and absolute
rywalizacją i czasem nawet wrogim,rivalry and sometimes even hostile
samolotu i systemu transportu powietrznego,aircraft and air transport system
są one wspólne dla wszystkich,they are common to all
sekretariat w połączeniu z pierwszą,secretariat in conjunction with the first
selektywnie poszerzać i intensyfikować relacje,selectively widen and intensify its relationship
silną i wysokiej jakości bazę,strong and high quality research base
skierował ją do innego organu,address it to another authority
skutecznie oraz reagowały na wszelkie,effectively and react to any
skutkiem w stosunku do arbitrażu,effect in relation to arbitration
społeczeństwo obywatelskie będzie musiało być,civil society will need to be
spójności społecznej i rozwoju gospodarczego,social cohesion and economic development
sprawie efektywności energetycznej w transporcie,concerning energy efficiency measures in transport
sprawozdanie o wszelkich wyjątkowych warunkach,report on any exceptional conditions
standard jakości musi wziąć pod,quality standard has to take
stosować ten rok lub okres,use that base year or period
strategicznego partnerstwa i wymiaru północnego,strategic partnership and the northern dimension
strategii współpracy ze społeczeństwem obywatelskim,strategy for cooperation with civil society
swoich procesów budżetowych oraz do,their budgetary processes and into
swoje wsparcie dla przygotowania językowego,their support for the linguistic preparation
system identyfikacji może też wykorzystywać,identification system may also use
szczególny program badań i rozwoju,specific research and technological development programme
średniej masy pojazdu oraz roku,average weight per vehicle and year
środowiskiem i jego zasobami poprzez,environment and its resources through
środowiskowych oraz środowiska i zdrowia,environmental technologies and environment and health
takie jak zarządzanie zasobami wodnymi,such as water resources management
tego państwa bez jego uprzedniej,that state without its prior
ten rok lub okres bazowy,that base year or period
to będzie również prowadziło do,this differentiation will also lead to
transport międzynarodowy taki jak lotnictwo,international transport such as aviation
transportu lotniczego do eu ets,air transport in an eu ets
tylko na szczeblu obustronnym czy,just at bilateral or area level
tym języku w dzienniku urzędowym,that language in the official journal
tytuł iv stosunki z innymi,title iv relations with other
udział w głosowaniu tajnym są,part in a secret ballot shall
umową o partnerstwie i współpracy,partnership and cooperation agreement signed by
ustanawia instrument sąsiedztwa i partnerstwa,establishes a neighbourhood and partnership instrument
uwagi na społeczne i prawne,attention to the social and legal
w bardziej bezpośredni i konkretny,in a more immediate and concrete
w czystej formie lub jako,in pure form or as
w formie elektronicznej lub poprzez,in electronic form or through
w każdym przypadku w sposób,in each case in a manner
w którym przyjmowany jest porządek,on which the agenda is adopted
w nauce w każdym wieku,for successful learning at any age
w odpowiedzi na ten komunikat,in response to this communication
w parlamencie i w jego,in parliament and on its
w połączeniu z pierwszą sesją,in conjunction with the first session
w praktyce zawodowej i szkoleniach,into professional practice and training
w społeczeństwie i zróżnicowaniu ludności,in society and population diversity
w suchej skale i tylko,in dry rock formations and only
w tym celu komisja powinna,commission should for this purpose
w tym przypadku decyzja jest,in this instance the decision shall
w wysoce konkurencyjnym kontekście globalnym,in a highly competitive global context
w załączniku ii a dyrektywy,in annex ii a of directive
w załączniku iib do dyrektywy,in annex iib to directive
wagi zgodności z legislacją wspólnoty,importance of compliance with community legislation
wewnętrznego i ochrony konsumentów komisja,internal market and consumer protection committee
węgla w każdym okresie zobowiązań,carbon stocks in each commitment period
wkład w znaczący i konstruktywny,contribution for a meaningful and constructive
wniosek nie jest wystarczająco precyzyjny,application is not sufficiently precise
wniosków o dostęp do dokumentów,application for access to a document
wraz ze wszelkimi propozycjami zmian,together with any proposal for amendment
wsparcia społeczeństwa obywatelskiemu w walce,civil society support in combating
wspólne wdrażanie będzie wymagało ustanowienia,joint implementation will require the establishment
wspólnego stanowiska są dopuszczalne tylko,common position shall be admissible only
wspólnej przestrzeni lotniczej ze wschodnimi,common aviation area with its eastern
wspólnota powinna być w stanie,community should be in a position
wspólny program operacyjny nie może,joint operational programme can not
współpracować w przygotowaniu adaptacji do,cooperate in preparing for adaptation
współpracy oraz w innych uzasadnionych,cooperation and in other justified
wstępny porządek każdego posiedzenia jest,provisional agenda for each meeting shall
wszelkich wyjątkowych warunkach w dostawach,any exceptional conditions in the supply
wybiera swojego przewodniczącego i dwóch,elect its chairman and two
wykluczenie społeczne i duże bezrobocie,social exclusion and high unemployment
wymianę doświadczeń i dialog dwustronny,exchange of experience and bilateral dialogue
wysoce wydajnych i efektywnych pod,at highly efficient and cost effective
wzajemnego dostępu do zewnętrznej pomocy,reciprocal access to their external assistance
względnej i bezwzględnej obfitości flory,relative and absolute abundance of flora
wzrost na poziomie globalnym będzie,growth at a global level will
wzrostu średniej światowej temperatury do,global average temperature increase to
z funduszy strukturalnych nie była,with structural fund programme were not
z których wiele jest bezpośrednio,many of which are directly
z oleju mineralnego lub syntetycznego,of mineral or synthetic oil
z podobnym skutkiem w stosunku,with like effect in relation
z realizacji tego planu działania,implementation of that action plan
z sektorem finansowym dobrowolnych inicjatyw,voluntary initiative with the financial sector
z włączeniem transportu lotniczego do,incorporation of air transport into
za decyzje polityczne znaczenia vet,importance of vet to political decision
za odniesienie do niniejszej dyrektywy,as a reference to this directive
zainteresowania nauką i pełnego udziału,interest and full participation in science
załącznik ii nadzór i monitorowanie,annex ii surveillance and monitoring
załącznika lub poprawek do załącznika,annex or amendment to an annex
załączników do niniejszej dyrektywy do,annexes to this directive to
załączniku iii lub z artykuł,annex iii or with article
zapewniają one także równorzędny poziom,they also provide an equivalent level
zapotrzebowanie na bardziej konkretne informacje,need for more concrete information
zarządzania przez wspólny organ zarządzający,management by a joint managing authority
zasobów finansowych i transferu technologii,financial resources and transfer of technology
zastosowania planowania regionalnego jako instrumentu,using regional planning as an instrument
zaufania konsumentów i przedsiębiorstw do,confidence of consumers and businesses for
zawierają odniesienie do niniejszej dyrektywy,contain a reference to this directive
zdrowia ludzkiego oraz przygotowanie następnego,human health and preparing the next
ze społeczeństwem obywatelskim w innych,with civil society in other
zezwala na wspólną dyskusję nad,to allow a joint debate on
zmian klimatu oraz oszczędzania energii,climate change and saving energy
zmianami klimatu nie będzie możliwe,climate change will not be possible
zmiany klimatu będą miały głębokie,climate change will have profound
zmiany klimatu w odległej przyszłości,climate change in the distant future
znaczenie jakościowe dla ich rozwoju,qualitative importance for their development
znacznego negatywnego wpływu na zdrowie,significant negative impact on health
zużyciem innych zasobów oraz by,consumption of other resources and to
że każdy zakład lub przedsiębiorstwo,that any establishment or undertaking
że potencjalny klient nie może,that the potential customer can not
że rozwój ekonomiczny jest niezbędnym,that economic development is essential
życie wiejskie i wielofunkcyjne rolnictwo,country life and multifunctional agriculture
