"przedsiębiorstw w społeczeństwie i zróżnicowaniu ludności","business in society and population diversity"
"przygotowanie i przeszkolenie społeczeństwa obywatelskiego do","preparing and training civil society for"
"przyrody są poważne i wymagają złagodzenia","nature are severe and necessitate mitigation"
"publicznych i prywatnych inwestycji w vet","public and private investment in vet"
"punktu do postępu naukowego i technicznego","point to scientific and technical progress"
"rok lub okres bazowy inny niż","base year or period other than"
"rozwijać osobiste stosunki w tym obszarze","developing personal relations in this area"
"rynku wewnętrznego i ochrony konsumentów komisja","internal market and consumer protection committee"
"silną i wysokiej jakości bazę badawczą","strong and high quality research base"
"skutecznie oraz reagowały na wszelkie potrzeby","effectively and react to any requirement"
"skuteczności i odpowiedzialności poprzez niezależną kontrolę","efficiency and accountability through independent auditing"
"społeczną i gospodarczą funkcję i dlatego","social and economic function and therefore"
"spójności między ich dwustronną i wielostronną","consistency between their bilateral and multilateral"
"stosować ten rok lub okres bazowy","use that base year or period"
"stosunków dwustronnych i polityki dobrego sąsiedztwa","bilateral relations and good neighbourhood policy"
"strategicznymi dostawami energii i transportem energii","strategic energy supply and energy transport"
"swoich procesów budżetowych oraz do swoich","their budgetary processes and into their"
"systematyczny dialog oraz konsultacje na wczesnym","systematic dialogue and early consultation on"
"szczególną pomocą dla małych i średnich","specific help for small and medium"
"środowiska i rozwoju w rio de","environment and development in rio de"
"takie jak badania i rozwój technologiczny","such as research and technological development"
"także na szczeblu gminnym i lokalnym","also at municipal and local level"
"technologii oraz ich miejsca w społeczeństwie","technology and their place in society"
"tego państwa bez jego uprzedniej zgody","that state without its prior agreement"
"ten rok lub okres bazowy dla","that base year or period for"
"w kontakcie z wodą lub wilgotnym","in contact with water or damp"
"właściwej koordynacji i współpracy z wielostronnymi","proper coordination and cooperation with multilateral"
"wniosku lub bezpośrednio w formie elektronicznej","application or directly in electronic form"
"wspólnotę węgla i stali oraz artykuł","coal and steel community and article"
"wspólny organ zarządzający może być wspierany","joint managing authority may be assisted"
"współpraca ze społeczeństwem obywatelskim w innych","cooperation with civil society in other"
"współpracę i stopniową integrację gospodarczą pomiędzy","cooperation and progressive economic integration between"
"współpracę z innymi publicznymi i prywatnymi","cooperation with other public and private"
"współpracy administracyjnej oraz wzajemnej pomocy administracyjnej","administrative cooperation and mutual administrative assistance"
"współpracy i stopniowej integracji gospodarczej pomiędzy","cooperation and progressive economic integration between"
"współpracy międzynarodowej w badaniach i rozwoju","international cooperation in research and development"
"wymiany informacji i wymiany wiedzy między","information sharing and knowledge exchange between"
"z programem zbierania danych i informacji","programme for gathering data and information"
"z tego państwa bez jego uprzedniej","from that state without its prior"
"zasobów ludzkich i wsparcie dla edukacji","human resources and support for education"
"zdrowia publicznego i bezpieczeństwa żywności komisja","public health and food safety committee"
"zwłaszcza na szczeblu krajowym i lokalnym","particularly at national and local level"
