wspólnoty i przyczyniać,community policies and contribute,
współpracę między rzecznikiem,co-operation between the ombudsman,
współpracy w konkretnych,cooperation in specific,
wszelkiej niezależnej weryfikacji,any independent verification,
wygodny transport publiczny,convenient public transport,
wyłącznym źródłem informacji,sole source of information,
wyników dla środowiska,results for the environment,
wystarczająco precyzyjny sposób,sufficiently precise manner,
wzrost w tym,this growth in,
z debaty nad,of the debate on,
z innymi elementami,other elements of the report,
z którego terytorium,from whose territory,
z oceną wpływu,assessment of the impact,
z pomocy poprzez,from assistance through,
z rozporządzeniem finansowym,communities and the financial regulation,
z włączeniem transportu,incorporation of air transport,
za odniesienie do,as a reference to,
zachować funkcji stałego,keep the status of permanent,
zakorzeniony w społeczeństwie,deep-rooted paternalism in moldovan society,
załącznika ii do,annex ii to,
zaopatrzenie w wodę,on water supply and sanitation,
zarządzania ruchem lotniczym,air traffic management should,
zastosowania planowania regionalnego,using regional planning,
zawierać istotne informacje,contain relevant information,
zdrowiu i jakości,health and quality,
zgodności z artykułem,compliance with article,
zmian klimatu muszą,climate change must,
znaczące ogólne zmniejszenie,significant overall reduction,
zróżnicowanie i reprezentatywność,diversity and representativeness,
żadnych problemów mieszanki,blend without any problem,
że obecne braki,that the present gaps,
że właściwe jest,that decision are appropriate,
